airport_id,airport_name,city,country,iata_code
124,New Johnville International Airport,New Johnville,Korea,YNS
125,Port Steven International Airport,Port Steven,Marshall Islands,TRJ
126,Stephaniemouth International Airport,Stephaniemouth,New Zealand,BRI
127,Rivasside International Airport,Rivasside,Kiribati,IWS
128,Lake Michelle International Airport,Lake Michelle,Korea,HIK
129,Karenview International Airport,Karenview,Seychelles,KHD
130,Simsview International Airport,Simsview,Kazakhstan,KYR
131,Lake Justinview International Airport,Lake Justinview,Grenada,XQH
132,Patricialand International Airport,Patricialand,Burundi,OAH
133,East Patrick International Airport,East Patrick,Cape Verde,LPR
134,North Robert International Airport,North Robert,Greenland,MLF
135,Perryborough International Airport,Perryborough,Syrian Arab Republic,MXU
136,Priceshire International Airport,Priceshire,Yemen,ECN
137,Port Nicoleshire International Airport,Port Nicoleshire,Hong Kong,QIV
138,Smithstad International Airport,Smithstad,French Southern Territories,TRF
139,Castanedachester International Airport,Castanedachester,Mauritania,FAG
140,South Jeffrey International Airport,South Jeffrey,Jordan,MWB
141,Johnsonmouth International Airport,Johnsonmouth,Paraguay,KQF
142,Ramseymouth International Airport,Ramseymouth,Uruguay,SMG
143,New Amanda International Airport,New Amanda,United States of America,RAT
144,Vargastown International Airport,Vargastown,Belize,UCL
145,Taylormouth International Airport,Taylormouth,Cocos (Keeling) Islands,EYN
146,West Nicholasborough International Airport,West Nicholasborough,Korea,BGW
147,Matthewfurt International Airport,Matthewfurt,Fiji,LUR
148,Kingland International Airport,Kingland,Latvia,ZPY
149,Lake Amberstad International Airport,Lake Amberstad,Czech Republic,XPS
150,Port Susanton International Airport,Port Susanton,Saudi Arabia,NVO
151,East Jamestown International Airport,East Jamestown,Nigeria,XTM
152,East David International Airport,East David,Paraguay,GGQ
153,New Staciemouth International Airport,New Staciemouth,Reunion,TNQ
154,Katieburgh International Airport,Katieburgh,New Caledonia,HCH
155,Port Loriport International Airport,Port Loriport,Botswana,HIO
156,West Barbarafurt International Airport,West Barbarafurt,Indonesia,DGS
157,North Brittany International Airport,North Brittany,Switzerland,SBK
158,North Heidi International Airport,North Heidi,Gabon,OKF
159,Port Tonyaton International Airport,Port Tonyaton,Guatemala,KXP
160,Stanleyland International Airport,Stanleyland,Madagascar,SWT
161,Alexanderchester International Airport,Alexanderchester,Swaziland,JAJ
162,Garciastad International Airport,Garciastad,North Macedonia,TWY
163,Zimmermanchester International Airport,Zimmermanchester,Christmas Island,KTO
164,Christinaside International Airport,Christinaside,Singapore,PFF
165,Marshallshire International Airport,Marshallshire,Ethiopia,LAI
166,Melissaland International Airport,Melissaland,Fiji,RKE
167,Sanchezmouth International Airport,Sanchezmouth,Montenegro,MDQ
168,Rogersfort International Airport,Rogersfort,Thailand,AKO
169,Hunterborough International Airport,Hunterborough,Guinea,AQD
170,Matthewview International Airport,Matthewview,Moldova,MBJ
171,New Stacyland International Airport,New Stacyland,Dominican Republic,FIT
172,Freemanbury International Airport,Freemanbury,Portugal,JTV
173,Brewerfort International Airport,Brewerfort,Kiribati,GCA
174,North Kellyfurt International Airport,North Kellyfurt,Puerto Rico,OZJ
175,West Elizabeth International Airport,West Elizabeth,Heard Island and McDonald Islands,QUQ
176,Transtad International Airport,Transtad,Jamaica,TYF
177,Michaelmouth International Airport,Michaelmouth,Faroe Islands,ADD
178,Johnville International Airport,Johnville,Saint Helena,ROF
179,West David International Airport,West David,Mauritania,STE
180,East Javier International Airport,East Javier,Liberia,PTC
181,Jennyhaven International Airport,Jennyhaven,Nepal,VZC
182,Tinaborough International Airport,Tinaborough,French Polynesia,AIR
183,West Harry International Airport,West Harry,American Samoa,YKS
184,West Brandon International Airport,West Brandon,Austria,BRQ
185,Heidiberg International Airport,Heidiberg,Northern Mariana Islands,CUW
186,Garciatown International Airport,Garciatown,Montserrat,PDZ
187,Taylormouth International Airport,Taylormouth,Guam,UJL
188,North Johnny International Airport,North Johnny,Tokelau,JNI
189,Wilsonland International Airport,Wilsonland,Iran,WVC
190,Joneston International Airport,Joneston,Canada,YQV
191,Port Anna International Airport,Port Anna,Gabon,SLT
192,East Davidchester International Airport,East Davidchester,New Caledonia,ZHV
193,Port Alexandra International Airport,Port Alexandra,Korea,NML
194,Evansshire International Airport,Evansshire,Japan,TGW
195,Ashleyton International Airport,Ashleyton,New Zealand,VCW
196,Port Jaredborough International Airport,Port Jaredborough,Estonia,GMP
197,East Johnside International Airport,East Johnside,Belarus,JAW
198,North Ricky International Airport,North Ricky,Portugal,EFU
199,Carterbury International Airport,Carterbury,France,HAY
200,Jacquelinemouth International Airport,Jacquelinemouth,Barbados,CSM
201,West Kristin International Airport,West Kristin,Niue,TRQ
202,South Danny International Airport,South Danny,Czech Republic,MUC
203,West Margaret International Airport,West Margaret,Barbados,FRH
204,East Laurashire International Airport,East Laurashire,Uruguay,PMN
205,Scottmouth International Airport,Scottmouth,Portugal,LTI
206,Hollyview International Airport,Hollyview,Macao,SHG
207,Kimton International Airport,Kimton,Tuvalu,DFD
208,Navarroview International Airport,Navarroview,Anguilla,NTE
209,East Suzanneshire International Airport,East Suzanneshire,Namibia,FMS
210,Port Emilyview International Airport,Port Emilyview,Morocco,ZNH
211,Port Katelynfort International Airport,Port Katelynfort,Maldives,CFF
212,Moonburgh International Airport,Moonburgh,Myanmar,EAN
213,Waltersfort International Airport,Waltersfort,Bermuda,HZO
214,Baileymouth International Airport,Baileymouth,Gibraltar,SDW
215,Port Eugenechester International Airport,Port Eugenechester,Puerto Rico,MWO
216,Robertsfurt International Airport,Robertsfurt,Suriname,MLE
217,South Christopherview International Airport,South Christopherview,Gibraltar,BYM
218,Port Richardhaven International Airport,Port Richardhaven,Sweden,VKB
219,Lake Mollymouth International Airport,Lake Mollymouth,Isle of Man,QBD
220,East Aprilfort International Airport,East Aprilfort,Niue,OHZ
221,Wolfborough International Airport,Wolfborough,Ethiopia,DTP
222,West Samuel International Airport,West Samuel,Qatar,UFN
223,Martinezbury International Airport,Martinezbury,Russian Federation,LLW
224,West Andrea International Airport,West Andrea,Micronesia,ZHQ
225,Davisville International Airport,Davisville,Kyrgyz Republic,PTY
226,Lake Marilynfort International Airport,Lake Marilynfort,Venezuela,FFR
227,Williamview International Airport,Williamview,Israel,EEB
228,Bairdbury International Airport,Bairdbury,Korea,ALP
229,South James International Airport,South James,Netherlands Antilles,HGS
230,Port Chad International Airport,Port Chad,Sierra Leone,SLR
231,Morganhaven International Airport,Morganhaven,Ethiopia,YUQ
232,West Jessicashire International Airport,West Jessicashire,Mozambique,RYL
233,Grimesmouth International Airport,Grimesmouth,Mauritania,OQX
234,Reedside International Airport,Reedside,Serbia,VBE
235,Gibsonmouth International Airport,Gibsonmouth,Trinidad and Tobago,HTO
236,Lake John International Airport,Lake John,Hungary,HDR
237,Port Kimberly International Airport,Port Kimberly,Aruba,SYN
238,Juliefurt International Airport,Juliefurt,Hungary,MCB
239,South Tammie International Airport,South Tammie,Brunei Darussalam,LIG
240,Mollymouth International Airport,Mollymouth,Bolivia,CZV
241,Smithberg International Airport,Smithberg,Ireland,OYZ
242,North Terrance International Airport,North Terrance,Estonia,RHB
243,Cindyfurt International Airport,Cindyfurt,Pakistan,TMQ
244,Port Markside International Airport,Port Markside,Hong Kong,XEP
245,Courtneyfort International Airport,Courtneyfort,Tunisia,QMC
246,New Caseyport International Airport,New Caseyport,Denmark,JIR
247,South Tiffanyville International Airport,South Tiffanyville,Kenya,WIS
248,Lake Kevin International Airport,Lake Kevin,Antarctica (the territory South of 60 deg S),HYV
249,West Lauraport International Airport,West Lauraport,Guinea-Bissau,OLI
250,Ryanbury International Airport,Ryanbury,Marshall Islands,IZK
251,Knightburgh International Airport,Knightburgh,Chile,NZR
252,North Chelsea International Airport,North Chelsea,Hong Kong,OKE
253,South Roberta International Airport,South Roberta,Cambodia,JTQ
254,South Dana International Airport,South Dana,Kuwait,TFO
255,Elizabethmouth International Airport,Elizabethmouth,United Arab Emirates,YLS
256,Ericaburgh International Airport,Ericaburgh,Barbados,DZP
257,Landryshire International Airport,Landryshire,French Southern Territories,GEO
258,Vaughnmouth International Airport,Vaughnmouth,Tanzania,OCZ
259,Jamesfurt International Airport,Jamesfurt,Timor-Leste,XLD
260,Rodriguezfurt International Airport,Rodriguezfurt,Montserrat,VMS
261,Baileyport International Airport,Baileyport,Angola,NHV
262,Hillshire International Airport,Hillshire,Tonga,ZGO
263,New Julieport International Airport,New Julieport,Singapore,JXN
264,New Laurie International Airport,New Laurie,Cyprus,WWH
265,New John International Airport,New John,Saudi Arabia,UKY
266,Lake Colton International Airport,Lake Colton,Niue,NVH
267,West Kristinaton International Airport,West Kristinaton,Mozambique,HPZ
268,Jessicaland International Airport,Jessicaland,United States of America,MDO
269,Markchester International Airport,Markchester,China,IOO
270,East Kristin International Airport,East Kristin,Turkey,LIE
271,Alyssaview International Airport,Alyssaview,Switzerland,SOG
272,West Robin International Airport,West Robin,Western Sahara,UBT
273,Coffeyport International Airport,Coffeyport,San Marino,SVK
274,Lindamouth International Airport,Lindamouth,Belarus,RVZ
275,Port Tammy International Airport,Port Tammy,Tokelau,MAN
276,Coffeyside International Airport,Coffeyside,Haiti,PWW
277,Port Ralphview International Airport,Port Ralphview,Mauritania,LNL
278,South Miguelview International Airport,South Miguelview,Myanmar,SKR
279,Carsonstad International Airport,Carsonstad,Botswana,EMZ
280,South Angel International Airport,South Angel,Turks and Caicos Islands,ISQ
281,Rosebury International Airport,Rosebury,Oman,WWW
282,Lake Madisonport International Airport,Lake Madisonport,Pakistan,JIS
283,Wilsonton International Airport,Wilsonton,Yemen,TWA
284,West Wendyville International Airport,West Wendyville,Bhutan,BQX
285,New Derek International Airport,New Derek,Korea,ZTL
286,Ellenside International Airport,Ellenside,Italy,CQW
287,South Diana International Airport,South Diana,Syrian Arab Republic,LSX
288,Gilbertview International Airport,Gilbertview,Antigua and Barbuda,BUH
289,Jeffmouth International Airport,Jeffmouth,Zambia,JDN
290,Port Michael International Airport,Port Michael,Poland,OUE
291,Amystad International Airport,Amystad,Bahamas,CWQ
292,Hillville International Airport,Hillville,Yemen,GXD
293,Davisborough International Airport,Davisborough,Norway,LGG
294,North Kristinbury International Airport,North Kristinbury,Brunei Darussalam,AUX
295,North Maria International Airport,North Maria,Micronesia,REL
296,New Jason International Airport,New Jason,Trinidad and Tobago,IPQ
297,West Kim International Airport,West Kim,Solomon Islands,LGV
298,West Micheleberg International Airport,West Micheleberg,Bulgaria,FKM
299,Laurenville International Airport,Laurenville,Panama,GOO
300,East Alexisbury International Airport,East Alexisbury,Namibia,ZHZ
301,Alfredview International Airport,Alfredview,Austria,RHO
302,Lake Robert International Airport,Lake Robert,Brazil,RTB
303,South Shanestad International Airport,South Shanestad,Malaysia,PMX
304,South Williamton International Airport,South Williamton,Saint Lucia,HUP
305,Stephentown International Airport,Stephentown,Bahamas,JQQ
306,Boonechester International Airport,Boonechester,Poland,RSR
307,South Jennifermouth International Airport,South Jennifermouth,Barbados,VQX
308,West Charleneland International Airport,West Charleneland,Brunei Darussalam,QIL
309,Claudiashire International Airport,Claudiashire,Mexico,HTE
310,Oscarhaven International Airport,Oscarhaven,French Polynesia,DOZ
311,Wagnerchester International Airport,Wagnerchester,Bolivia,NXV
312,Port Dianaside International Airport,Port Dianaside,Saint Helena,GVM
313,South Shannon International Airport,South Shannon,Denmark,UTI
314,Morganmouth International Airport,Morganmouth,Iran,CZD
315,Blairmouth International Airport,Blairmouth,Japan,ZWS
316,Elizabethstad International Airport,Elizabethstad,Zimbabwe,ZZU
317,Lake Sandra International Airport,Lake Sandra,Bangladesh,JUA
318,Port Christopherchester International Airport,Port Christopherchester,Bhutan,NLR
319,Lisaside International Airport,Lisaside,Bahamas,RPV
320,Elizabethchester International Airport,Elizabethchester,Guinea,YCG
321,Parrishton International Airport,Parrishton,France,AWO
322,Michaelshire International Airport,Michaelshire,Madagascar,XFB
323,East Diane International Airport,East Diane,Czech Republic,VXH
324,West Meganstad International Airport,West Meganstad,Brazil,KDY
325,Audreychester International Airport,Audreychester,Tanzania,HMC
326,New Sarahview International Airport,New Sarahview,Antarctica (the territory South of 60 deg S),XDL
327,West Jacqueline International Airport,West Jacqueline,Georgia,RTY
328,Michaelburgh International Airport,Michaelburgh,Trinidad and Tobago,KTE
329,New Diane International Airport,New Diane,Bangladesh,KCM
330,Lake Cynthia International Airport,Lake Cynthia,Antarctica (the territory South of 60 deg S),KYA
331,Lake Alyssafurt International Airport,Lake Alyssafurt,Italy,JLY
332,Petersonstad International Airport,Petersonstad,Georgia,WCR
333,Kimberlyshire International Airport,Kimberlyshire,Nepal,KED
334,North Ericton International Airport,North Ericton,Peru,WLR
335,West Scottchester International Airport,West Scottchester,Libyan Arab Jamahiriya,QPA
336,Perryborough International Airport,Perryborough,Saudi Arabia,UGD
337,West Russellport International Airport,West Russellport,Philippines,OBT
338,Roseport International Airport,Roseport,Aruba,FFW
339,South Tracey International Airport,South Tracey,Azerbaijan,IDX
340,East Kevinborough International Airport,East Kevinborough,Seychelles,AWD
341,Port Jonathan International Airport,Port Jonathan,Greece,DGE
342,North Tylerchester International Airport,North Tylerchester,China,RAA
343,South Amanda International Airport,South Amanda,Denmark,UGI
344,Charleston International Airport,Charleston,Jordan,EBT
345,South Samanthamouth International Airport,South Samanthamouth,Morocco,NTM
346,Berrychester International Airport,Berrychester,French Guiana,UNC
347,South Andrewmouth International Airport,South Andrewmouth,Chile,NYB
348,Collierstad International Airport,Collierstad,Benin,UWN
349,Richardbury International Airport,Richardbury,Jordan,LZB
350,Warrenfurt International Airport,Warrenfurt,Trinidad and Tobago,MKR
351,Juliebury International Airport,Juliebury,Grenada,MXB
352,North William International Airport,North William,Brazil,CPB
353,Port Michael International Airport,Port Michael,Saint Lucia,HQO
354,East Curtis International Airport,East Curtis,Equatorial Guinea,IZN
355,East Carrie International Airport,East Carrie,Senegal,LPC
356,East Stephaniefort International Airport,East Stephaniefort,Kyrgyz Republic,SWQ
357,Maldonadoshire International Airport,Maldonadoshire,Norway,TSF
358,Michellemouth International Airport,Michellemouth,Canada,LFI
359,Jonesmouth International Airport,Jonesmouth,Norfolk Island,LKC
360,Laurashire International Airport,Laurashire,Azerbaijan,LRJ
361,Williamport International Airport,Williamport,Kyrgyz Republic,DXB
362,Johnsonstad International Airport,Johnsonstad,Switzerland,VCC
363,Chaseland International Airport,Chaseland,Nicaragua,TVO
364,Fordside International Airport,Fordside,Zimbabwe,POI
365,South Reginashire International Airport,South Reginashire,Pakistan,DJR
366,West Cassidy International Airport,West Cassidy,Macao,TWS
367,North Shannon International Airport,North Shannon,Sudan,ZPJ
368,Toniland International Airport,Toniland,Madagascar,PFR
369,North John International Airport,North John,Kazakhstan,FCV
370,Warrenburgh International Airport,Warrenburgh,Haiti,JTO
371,Samanthafurt International Airport,Samanthafurt,Ireland,UVZ
372,Erikaton International Airport,Erikaton,Somalia,VPQ
373,Cameronville International Airport,Cameronville,Moldova,AYV
374,Mitchellberg International Airport,Mitchellberg,Grenada,GES
375,New Elizabethstad International Airport,New Elizabethstad,Georgia,IIA
376,Andersonland International Airport,Andersonland,Georgia,WOK
377,Schneidermouth International Airport,Schneidermouth,Suriname,DQA
378,Lake Jacqueline International Airport,Lake Jacqueline,Yemen,TFK
379,Lake Ellenhaven International Airport,Lake Ellenhaven,Guyana,IJS
380,West Kyleborough International Airport,West Kyleborough,Guam,UOC
381,Leeberg International Airport,Leeberg,Cape Verde,BEQ
382,West Meganville International Airport,West Meganville,Madagascar,RHR
383,Lake Matthewberg International Airport,Lake Matthewberg,Nepal,MLH
384,Mooreburgh International Airport,Mooreburgh,Switzerland,TCL
385,Lake Samuel International Airport,Lake Samuel,Isle of Man,HRM
386,Ericabury International Airport,Ericabury,Kenya,RBK
387,Karenmouth International Airport,Karenmouth,Djibouti,PAH
388,West Tammy International Airport,West Tammy,Slovenia,FDG
389,Mckeeborough International Airport,Mckeeborough,Heard Island and McDonald Islands,IAT
390,Murrayport International Airport,Murrayport,Slovakia (Slovak Republic),EJS
391,Shawchester International Airport,Shawchester,Central African Republic,NVU
392,Port Cassandra International Airport,Port Cassandra,Tunisia,BWB
393,Brettfort International Airport,Brettfort,Tunisia,AXW
394,Angelaville International Airport,Angelaville,Rwanda,OOS
395,West Christopherburgh International Airport,West Christopherburgh,Faroe Islands,KCA
396,Whiteheadberg International Airport,Whiteheadberg,Switzerland,IUQ
397,Davisbury International Airport,Davisbury,Svalbard & Jan Mayen Islands,VXC
398,Wilkersontown International Airport,Wilkersontown,Israel,VGP
399,South Waynebury International Airport,South Waynebury,Hungary,NKI
400,West Jeffreymouth International Airport,West Jeffreymouth,Venezuela,IIE
401,Port Jennifermouth International Airport,Port Jennifermouth,Somalia,NCN
402,East Benjamin International Airport,East Benjamin,United States Virgin Islands,XJS
403,Hortonberg International Airport,Hortonberg,Senegal,VVG
404,Westtown International Airport,Westtown,United Kingdom,DFP
405,North Jonathanberg International Airport,North Jonathanberg,Mexico,TRE
406,Rodriguezport International Airport,Rodriguezport,Dominica,UMT
407,Davidbury International Airport,Davidbury,Italy,TLY
408,Brownfort International Airport,Brownfort,Nepal,OQQ
409,Lake Zacharybury International Airport,Lake Zacharybury,Saint Barthelemy,WQD
410,West Ruben International Airport,West Ruben,Nicaragua,BLH
411,Johnchester International Airport,Johnchester,Colombia,HBN
412,New Theresaland International Airport,New Theresaland,Zimbabwe,ILB
413,South Morganton International Airport,South Morganton,North Macedonia,VBW
414,Zavalaview International Airport,Zavalaview,San Marino,WPN
415,West Kristinastad International Airport,West Kristinastad,Dominican Republic,MOU
416,Port Bonniemouth International Airport,Port Bonniemouth,Burkina Faso,XLV
417,West Amyburgh International Airport,West Amyburgh,Switzerland,QIM
418,Pollardfort International Airport,Pollardfort,Norfolk Island,DBC
419,Port Dennis International Airport,Port Dennis,Saint Barthelemy,XIS
420,Johnsonborough International Airport,Johnsonborough,Aruba,NEG
421,North Leslie International Airport,North Leslie,Georgia,LLN
422,Haysside International Airport,Haysside,Lebanon,EJH
423,Benjaminborough International Airport,Benjaminborough,France,KIP
424,Michelleton International Airport,Michelleton,Tonga,UQB
425,Joshuastad International Airport,Joshuastad,Jordan,CRH
426,Paulfurt International Airport,Paulfurt,Guadeloupe,SRX
427,South Heather International Airport,South Heather,Heard Island and McDonald Islands,WIP
428,Lauriechester International Airport,Lauriechester,Belgium,DJZ
429,Morrisonburgh International Airport,Morrisonburgh,Mayotte,SKP
430,Manuelland International Airport,Manuelland,Greece,YIJ
431,Kirkchester International Airport,Kirkchester,Chad,UVR
432,Bellton International Airport,Bellton,Saint Lucia,VTR
433,Christinachester International Airport,Christinachester,Falkland Islands (Malvinas),NQL
434,North Emilyfurt International Airport,North Emilyfurt,Haiti,JJE
435,North Douglas International Airport,North Douglas,New Caledonia,FYM
436,Johnsonland International Airport,Johnsonland,Dominica,FDC
437,Michaelshire International Airport,Michaelshire,Antigua and Barbuda,VCU
438,Lake Shannon International Airport,Lake Shannon,Heard Island and McDonald Islands,VWA
439,Scottland International Airport,Scottland,Montserrat,ITD
440,New Michael International Airport,New Michael,Germany,JEV
441,Johnville International Airport,Johnville,Anguilla,UVE
442,South April International Airport,South April,United States Minor Outlying Islands,LKR
443,West Kimberlymouth International Airport,West Kimberlymouth,Croatia,GLH
444,Heatherfort International Airport,Heatherfort,Cook Islands,TLN
445,East Melissamouth International Airport,East Melissamouth,China,IVM
446,Osbornmouth International Airport,Osbornmouth,Papua New Guinea,VJY
447,Jennaside International Airport,Jennaside,Mauritius,ZMH
448,Patriciaburgh International Airport,Patriciaburgh,Rwanda,JNZ
449,Port Michael International Airport,Port Michael,Czech Republic,VUD
450,East Laurabury International Airport,East Laurabury,Somalia,GQW
451,Johnsonside International Airport,Johnsonside,Montserrat,OCV
452,Tannerside International Airport,Tannerside,Bulgaria,WHT
453,North Kylefort International Airport,North Kylefort,Malta,HXD
454,Hammondshire International Airport,Hammondshire,Barbados,LYF
455,West Dawn International Airport,West Dawn,Korea,LJA
456,Frazierstad International Airport,Frazierstad,Brunei Darussalam,BNG
457,Port Tammy International Airport,Port Tammy,Jersey,ZJA
458,Port Davidberg International Airport,Port Davidberg,Gabon,YVQ
459,East Marcus International Airport,East Marcus,Russian Federation,UDH
460,West Stacey International Airport,West Stacey,Maldives,VSD
