flight_id,flight_number,source_airport_id,destination_airport_id,departure_time,arrival_time,flight_status
203,AI943,821,655,2025-02-01 11:45:00,2025-02-02 02:15:00,Completed
204,LH199,542,42,2026-01-11 02:30:00,2026-01-11 04:45:00,Scheduled
205,SQ740,237,545,2025-07-17 06:15:00,2025-07-17 15:30:00,Cancelled
206,BA819,572,768,2025-10-13 13:00:00,2025-10-14 02:30:00,Completed
207,SG646,905,107,2025-03-27 05:45:00,2025-03-27 15:15:00,Cancelled
208,EK882,454,956,2025-06-30 10:30:00,2025-07-01 01:00:00,Completed
209,EK884,846,744,2025-06-15 19:15:00,2025-06-16 05:30:00,Delayed
210,AI391,763,261,2025-07-04 14:45:00,2025-07-04 21:45:00,Delayed
211,UK976,531,139,2026-04-01 09:00:00,2026-04-01 14:15:00,Scheduled
212,6E138,791,842,2026-04-28 22:30:00,2026-04-29 07:45:00,Delayed
213,G8194,160,142,2025-05-16 11:15:00,2025-05-16 15:45:00,Delayed
214,BA277,583,940,2025-04-22 23:00:00,2025-04-23 11:30:00,Delayed
215,AI848,921,707,2025-12-26 18:00:00,2025-12-27 04:30:00,Completed
216,EK988,391,81,2026-02-04 01:30:00,2026-02-04 08:15:00,Scheduled
217,AI412,789,233,2026-01-18 20:00:00,2026-01-19 07:45:00,Delayed
218,SG151,327,553,2025-10-17 04:30:00,2025-10-17 13:45:00,Completed
219,G8905,403,995,2025-08-17 19:00:00,2025-08-17 23:45:00,Scheduled
220,G8187,136,345,2025-02-12 15:00:00,2025-02-13 00:45:00,Scheduled
221,BA504,445,793,2025-12-24 04:15:00,2025-12-24 12:30:00,Completed
222,G8895,201,575,2025-11-12 23:15:00,2025-11-13 03:15:00,Scheduled
223,EK474,702,947,2025-10-22 02:00:00,2025-10-22 13:45:00,Scheduled
224,SG458,329,353,2025-11-01 20:00:00,2025-11-02 09:30:00,Completed
225,UK801,823,453,2025-11-16 04:45:00,2025-11-16 06:00:00,Scheduled
226,UK735,776,746,2026-03-13 02:00:00,2026-03-13 14:00:00,Cancelled
227,G8560,890,853,2026-02-24 09:00:00,2026-02-24 15:00:00,Delayed
228,LH594,340,215,2026-01-14 17:15:00,2026-01-14 21:45:00,Completed
229,G8274,145,712,2025-12-24 21:00:00,2025-12-25 04:00:00,Scheduled
230,AI168,206,809,2025-12-23 19:30:00,2025-12-23 21:15:00,Scheduled
231,AI399,278,679,2026-03-13 21:30:00,2026-03-14 11:30:00,Completed
232,SQ644,665,396,2025-04-29 12:00:00,2025-04-29 18:45:00,Scheduled
233,LH412,204,513,2026-05-10 14:00:00,2026-05-10 15:15:00,Scheduled
234,QP740,403,763,2025-03-22 00:30:00,2025-03-22 12:00:00,Scheduled
235,LH386,514,283,2026-02-20 01:30:00,2026-02-20 08:30:00,Scheduled
236,LH794,350,919,2025-07-21 21:15:00,2025-07-22 00:00:00,Completed
237,EK419,641,703,2025-04-27 13:15:00,2025-04-27 23:30:00,Cancelled
238,SQ654,338,460,2025-10-05 04:15:00,2025-10-05 15:30:00,Completed
239,SQ261,208,884,2025-03-12 09:15:00,2025-03-12 16:30:00,Scheduled
240,SG844,571,546,2026-05-01 23:00:00,2026-05-02 02:30:00,Scheduled
241,G8255,327,902,2026-05-14 13:45:00,2026-05-14 19:30:00,Completed
242,SQ337,110,135,2025-04-05 00:30:00,2025-04-05 10:45:00,Scheduled
243,QP288,27,368,2025-02-10 22:45:00,2025-02-11 02:30:00,Completed
244,EK882,504,486,2025-03-12 05:15:00,2025-03-12 09:15:00,Cancelled
245,UK167,948,277,2026-05-02 13:15:00,2026-05-03 01:30:00,Scheduled
246,BA352,978,450,2026-03-20 19:45:00,2026-03-21 08:15:00,Scheduled
247,EK726,795,43,2025-11-08 23:45:00,2025-11-09 12:15:00,Cancelled
248,BA567,586,609,2025-10-02 16:00:00,2025-10-03 01:00:00,Completed
249,LH496,44,899,2025-05-06 16:45:00,2025-05-07 04:45:00,Delayed
250,G8892,646,986,2025-01-26 06:30:00,2025-01-26 15:15:00,Completed
251,BA949,473,171,2025-08-05 09:00:00,2025-08-05 21:15:00,Completed
252,EK523,93,740,2025-09-14 03:15:00,2025-09-14 16:30:00,Scheduled
253,G8431,26,184,2025-08-21 18:15:00,2025-08-22 02:15:00,Completed
254,BA749,929,729,2026-02-12 05:00:00,2026-02-12 07:00:00,Scheduled
255,AI886,537,725,2025-07-16 23:15:00,2025-07-17 07:00:00,Scheduled
256,SG887,344,580,2026-03-23 21:15:00,2026-03-24 00:30:00,Completed
257,6E234,430,316,2025-06-08 23:45:00,2025-06-09 05:00:00,Cancelled
258,BA656,4,638,2026-01-27 08:00:00,2026-01-27 16:45:00,Completed
259,BA519,623,904,2025-09-10 07:15:00,2025-09-10 18:00:00,Scheduled
260,AI289,616,615,2025-01-04 07:30:00,2025-01-04 17:45:00,Scheduled
261,QP189,669,358,2025-01-19 04:00:00,2025-01-19 15:30:00,Scheduled
262,BA867,427,183,2025-03-24 21:30:00,2025-03-25 07:45:00,Delayed
263,6E876,954,37,2025-02-17 09:30:00,2025-02-17 16:15:00,Scheduled
264,QP639,564,67,2025-05-30 15:15:00,2025-05-30 17:45:00,Scheduled
265,BA841,215,713,2025-04-18 19:00:00,2025-04-18 21:00:00,Completed
266,G8638,957,808,2025-12-28 09:45:00,2025-12-28 20:15:00,Delayed
267,BA927,639,363,2026-04-20 04:45:00,2026-04-20 14:30:00,Scheduled
268,AI576,625,239,2025-12-29 09:15:00,2025-12-29 10:15:00,Completed
269,QP458,121,756,2026-03-11 06:45:00,2026-03-11 13:45:00,Delayed
270,G8909,653,218,2025-01-06 20:15:00,2025-01-07 08:45:00,Scheduled
271,QP505,308,519,2025-10-09 10:00:00,2025-10-09 12:30:00,Completed
272,BA585,631,984,2025-01-15 05:15:00,2025-01-15 11:45:00,Completed
273,BA902,662,140,2025-09-04 04:45:00,2025-09-04 19:15:00,Completed
274,LH648,951,761,2025-01-29 16:30:00,2025-01-30 03:00:00,Scheduled
275,AI447,592,702,2025-06-19 11:00:00,2025-06-19 14:30:00,Cancelled
276,G8822,642,548,2026-03-08 05:45:00,2026-03-08 08:45:00,Completed
277,QP562,727,33,2025-05-20 13:00:00,2025-05-20 21:15:00,Completed
278,AI896,310,222,2025-09-26 09:15:00,2025-09-26 11:45:00,Scheduled
279,UK448,95,455,2025-09-17 00:45:00,2025-09-17 10:00:00,Cancelled
280,LH792,751,895,2025-09-26 09:30:00,2025-09-26 12:30:00,Cancelled
281,AI418,211,742,2025-01-19 14:45:00,2025-01-20 02:45:00,Cancelled
282,6E633,704,869,2025-11-01 02:30:00,2025-11-01 10:30:00,Completed
283,QP305,764,320,2025-01-12 18:30:00,2025-01-13 05:45:00,Scheduled
284,SG380,284,546,2025-06-13 14:00:00,2025-06-13 19:15:00,Scheduled
285,LH426,982,638,2025-10-14 16:00:00,2025-10-14 20:30:00,Scheduled
286,G8727,966,722,2026-02-16 09:15:00,2026-02-16 12:15:00,Completed
287,6E492,554,455,2025-01-26 04:00:00,2025-01-26 12:00:00,Scheduled
288,G8440,437,402,2025-04-02 22:45:00,2025-04-03 09:15:00,Completed
289,SQ234,731,777,2025-12-10 17:00:00,2025-12-11 06:45:00,Scheduled
290,BA581,822,942,2025-12-24 14:00:00,2025-12-24 22:30:00,Scheduled
291,SG816,230,148,2026-03-17 19:30:00,2026-03-18 02:15:00,Cancelled
292,6E586,339,808,2026-03-17 10:45:00,2026-03-17 18:45:00,Scheduled
293,SQ688,491,473,2026-03-10 05:30:00,2026-03-10 19:00:00,Scheduled
294,G8645,106,416,2026-02-23 22:00:00,2026-02-24 04:00:00,Delayed
295,BA493,605,424,2025-05-03 19:15:00,2025-05-04 04:30:00,Scheduled
296,SQ906,214,834,2025-12-22 18:45:00,2025-12-23 08:30:00,Scheduled
297,6E706,711,242,2025-03-30 21:00:00,2025-03-31 09:45:00,Delayed
298,6E712,334,569,2025-02-19 14:15:00,2025-02-19 20:00:00,Scheduled
299,6E322,834,611,2026-01-30 12:30:00,2026-01-30 20:30:00,Completed
300,SG563,909,595,2026-04-08 20:00:00,2026-04-09 09:15:00,Delayed
301,G8683,400,631,2025-10-23 14:15:00,2025-10-23 18:45:00,Completed
302,SQ622,696,312,2026-04-16 13:30:00,2026-04-16 15:30:00,Scheduled
303,AI820,131,873,2025-05-31 01:30:00,2025-05-31 10:30:00,Delayed
304,SQ503,368,113,2026-03-17 09:00:00,2026-03-17 13:45:00,Completed
305,SG586,729,392,2025-07-27 12:45:00,2025-07-27 22:00:00,Scheduled
306,SG237,569,394,2026-03-08 11:45:00,2026-03-08 15:15:00,Scheduled
307,SG186,664,17,2025-03-15 23:45:00,2025-03-16 11:30:00,Scheduled
308,BA621,826,426,2026-03-17 14:45:00,2026-03-18 01:00:00,Scheduled
309,SQ107,840,461,2025-07-16 11:15:00,2025-07-16 15:00:00,Delayed
310,AI138,868,749,2025-05-02 22:30:00,2025-05-03 06:00:00,Delayed
311,SG847,722,378,2025-02-27 18:45:00,2025-02-28 06:45:00,Completed
312,LH724,880,769,2026-02-03 08:45:00,2026-02-03 17:45:00,Scheduled
313,SQ154,484,646,2026-01-15 21:00:00,2026-01-16 08:30:00,Cancelled
314,SQ851,548,798,2025-01-06 15:45:00,2025-01-07 01:30:00,Scheduled
315,SQ867,362,984,2026-05-16 09:30:00,2026-05-16 12:30:00,Scheduled
316,SQ152,804,578,2025-05-14 01:45:00,2025-05-14 12:00:00,Completed
317,6E229,299,829,2026-01-13 19:00:00,2026-01-14 00:45:00,Delayed
318,G8978,872,803,2025-05-23 08:15:00,2025-05-23 18:45:00,Scheduled
319,QP927,760,115,2025-11-06 05:15:00,2025-11-06 17:00:00,Scheduled
320,QP186,802,718,2025-05-01 15:15:00,2025-05-02 04:15:00,Cancelled
321,EK343,610,957,2026-02-25 04:45:00,2026-02-25 18:30:00,Completed
322,6E153,744,653,2025-03-27 06:30:00,2025-03-27 08:00:00,Scheduled
323,BA368,409,488,2025-06-04 15:15:00,2025-06-04 23:00:00,Scheduled
324,LH799,892,446,2025-01-07 09:45:00,2025-01-07 17:15:00,Cancelled
325,SQ767,100,940,2025-09-30 20:30:00,2025-10-01 11:15:00,Completed
326,BA891,344,277,2025-05-17 03:30:00,2025-05-17 15:15:00,Completed
327,SG420,248,752,2025-12-11 18:15:00,2025-12-12 03:45:00,Delayed
328,LH206,689,9,2026-03-02 02:00:00,2026-03-02 09:00:00,Completed
329,AI734,360,225,2026-01-07 09:30:00,2026-01-07 13:30:00,Scheduled
330,6E976,962,609,2025-12-03 06:00:00,2025-12-03 18:00:00,Completed
331,G8401,385,673,2026-01-27 20:15:00,2026-01-27 22:30:00,Delayed
332,QP363,959,78,2025-11-24 14:30:00,2025-11-25 04:15:00,Scheduled
333,AI364,76,284,2026-02-02 01:45:00,2026-02-02 09:15:00,Cancelled
334,SG760,272,183,2025-08-14 02:45:00,2025-08-14 07:30:00,Delayed
335,BA832,148,554,2026-01-29 13:15:00,2026-01-29 23:15:00,Scheduled
336,AI609,36,75,2025-02-06 18:30:00,2025-02-07 08:15:00,Scheduled
